h3,can_train,can_pub
851f81b3fffffff,0.0,0.0
851faa4bfffffff,0.0,0.0
851f8197fffffff,0.0,0.0
851f8193fffffff,0.0,0.0
851f8567fffffff,0.0,0.0
851f8563fffffff,1.0,0.0
851f857bfffffff,0.0,0.0
851f854ffffffff,0.0,0.0
851f854bfffffff,0.0,0.0
851f8097fffffff,0.0,0.0
851f8093fffffff,0.0,0.0
851f8467fffffff,0.0,0.0
851f8463fffffff,0.0,0.0
851f847bfffffff,0.0,0.0
851f844ffffffff,0.0,0.0
851f86b3fffffff,0.0,0.0
851f86bbfffffff,0.0,0.0
851f8617fffffff,0.0,0.0
851f8603fffffff,0.0,0.0
851f860bfffffff,0.0,0.0
851f8647fffffff,0.0,0.0
851f864ffffffff,1.0,0.0
851f95b3fffffff,0.0,0.0
851f95bbfffffff,0.0,0.0
851f9517fffffff,0.0,0.0
851f9503fffffff,0.0,0.0
851f950bfffffff,0.0,0.0
851f9573fffffff,0.0,0.0
851f9563fffffff,0.0,0.0
851f956ffffffff,0.0,0.0
851f91d7fffffff,1.0,0.0
851f91c7fffffff,0.0,0.0
851f911bfffffff,1.0,0.0
851f910bfffffff,0.0,0.0
851f9173fffffff,1.0,0.0
851f9163fffffff,1.0,0.0
851f916ffffffff,1.0,0.0
851f9ed7fffffff,0.0,0.0
851f9ec7fffffff,0.0,0.0
851f9e1bfffffff,0.0,0.0
851f9e03fffffff,0.0,0.0
851f9e07fffffff,0.0,0.0
851f9e33fffffff,0.0,0.0
851f9e37fffffff,0.0,0.0
851f98cbfffffff,0.0,0.0
851f98cffffffff,0.0,0.0
851f981bfffffff,0.0,0.0
851f9803fffffff,0.0,0.0
851f9807fffffff,0.0,0.0
851f9833fffffff,0.0,0.0
851f9837fffffff,0.0,0.0
851f99cbfffffff,0.0,0.0
851f99cffffffff,1.0,0.0
851f99c7fffffff,0.0,0.0
851f998bfffffff,0.0,0.0
851f9983fffffff,0.0,0.0
851f9997fffffff,0.0,0.0
851f8a5bfffffff,0.0,0.0
851f8a53fffffff,0.0,1.0
851f8acffffffff,1.0,1.0
851f8ac7fffffff,1.0,1.0
851f8a8bfffffff,0.0,0.0
851f8a83fffffff,0.0,0.0
851f8a97fffffff,0.0,0.0
851f885bfffffff,0.0,0.0
851f8853fffffff,0.0,0.0
851f88cbfffffff,0.0,0.0
851f88dbfffffff,0.0,0.0
851f8ea7fffffff,0.0,0.0
851f8eb7fffffff,0.0,0.0
851f8c4ffffffff,0.0,0.0
851f8c43fffffff,0.0,0.0
851f8c53fffffff,0.0,0.0
851f8ccbfffffff,0.0,0.0
851f8cdbfffffff,0.0,0.0
851f81a7fffffff,1.0,0.0
851f81b7fffffff,0.0,0.0
851faa4ffffffff,0.0,0.0
851faa43fffffff,0.0,0.0
851faa5bfffffff,0.0,0.0
851f852ffffffff,0.0,0.0
851f852bfffffff,0.0,0.0
851f8577fffffff,0.0,0.0
851f8573fffffff,0.0,0.0
851f8547fffffff,0.0,0.0
851f8543fffffff,0.0,0.0
851f855bfffffff,0.0,0.0
851f842ffffffff,0.0,0.0
851f842bfffffff,1.0,0.0
851f8477fffffff,0.0,0.0
851f8473fffffff,0.0,0.0
851f8447fffffff,0.0,0.0
851f8443fffffff,0.0,0.0
851f844bfffffff,0.0,0.0
851f8687fffffff,0.0,0.0
851f868ffffffff,0.0,0.0
851f8613fffffff,1.0,0.0
851f861bfffffff,0.0,0.0
851f8657fffffff,0.0,0.0
851f8643fffffff,0.0,0.0
851f864bfffffff,0.0,0.0
851f9587fffffff,0.0,0.0
851f958ffffffff,0.0,0.0
851f9513fffffff,0.0,0.0
851f951bfffffff,0.0,0.0
851f9557fffffff,0.0,0.0
851f9547fffffff,0.0,0.0
851f957bfffffff,0.0,0.0
851f956bfffffff,1.0,0.0
851f91d3fffffff,0.0,0.0
851f91c3fffffff,0.0,0.0
851f91cffffffff,0.0,0.0
851f9157fffffff,0.0,0.0
851f9147fffffff,0.0,0.0
851f917bfffffff,0.0,0.0
851f916bfffffff,0.0,0.0
851f9ed3fffffff,0.0,0.0
851f9ec3fffffff,0.0,0.0
851f9ecffffffff,0.0,0.0
851f9e57fffffff,0.0,0.0
851f9e0bfffffff,0.0,0.0
851f9e0ffffffff,0.0,0.0
851f9e3bfffffff,0.0,0.0
851f9e23fffffff,0.0,0.0
851f9e27fffffff,0.0,0.0
851f9853fffffff,0.0,0.0
851f9857fffffff,0.0,0.0
851f980bfffffff,0.0,0.0
851f980ffffffff,0.0,0.0
851f983bfffffff,0.0,0.0
851f9823fffffff,0.0,0.0
851f9827fffffff,0.0,0.0
851f9953fffffff,0.0,0.0
851f9957fffffff,0.0,0.0
851f991bfffffff,0.0,0.0
851f9913fffffff,0.0,0.0
851f998ffffffff,0.0,0.0
851f9987fffffff,0.0,0.0
851f8a4bfffffff,0.0,0.0
851f8a43fffffff,0.0,0.0
851f8a57fffffff,0.0,1.0
851f8a1bfffffff,0.0,0.0
851f8a13fffffff,1.0,1.0
851f8a8ffffffff,1.0,1.0
851f8a87fffffff,0.0,1.0
851f884bfffffff,0.0,0.0
851f8843fffffff,0.0,0.0
851f8857fffffff,0.0,0.0
851f88cffffffff,0.0,0.0
851f88c3fffffff,0.0,0.0
851f88d3fffffff,1.0,0.0
851f8c6bfffffff,0.0,0.0
851f8c7bfffffff,0.0,0.0
851f8c47fffffff,0.0,0.0
851f8c57fffffff,0.0,0.0
851f8ccffffffff,0.0,0.0
851f8cc3fffffff,0.0,0.0
851f8cd3fffffff,1.0,0.0
851faa6bfffffff,0.0,0.0
851faa7bfffffff,1.0,0.0
851faa47fffffff,0.0,0.0
851faa57fffffff,0.0,0.0
851faa53fffffff,1.0,0.0
851f8527fffffff,0.0,0.0
851f8523fffffff,0.0,0.0
851f853bfffffff,0.0,0.0
851f850ffffffff,1.0,0.0
851f850bfffffff,1.0,0.0
851f8557fffffff,0.0,0.0
851f8553fffffff,0.0,0.0
851f8427fffffff,0.0,0.0
851f8423fffffff,0.0,0.0
851f843bfffffff,0.0,0.0
851f840ffffffff,0.0,0.0
851f840bfffffff,0.0,0.0
851f8457fffffff,0.0,0.0
851f8453fffffff,0.0,0.0
851f845bfffffff,0.0,0.0
851f8697fffffff,0.0,0.0
851f8683fffffff,1.0,0.0
851f868bfffffff,0.0,0.0
851f86c7fffffff,0.0,0.0
851f86cffffffff,0.0,0.0
851f8653fffffff,0.0,0.0
851f865bfffffff,0.0,0.0
851f9597fffffff,0.0,0.0
851f9583fffffff,0.0,0.0
851f958bfffffff,0.0,0.0
851f95c7fffffff,0.0,0.0
851f95cffffffff,0.0,0.0
851f9553fffffff,0.0,0.0
851f9543fffffff,0.0,0.0
851f954ffffffff,0.0,0.0
851f90b7fffffff,0.0,0.0
851f90a7fffffff,0.0,0.0
851f91dbfffffff,0.0,0.0
851f91cbfffffff,0.0,0.0
851f9153fffffff,0.0,0.0
851f9143fffffff,0.0,0.0
851f914ffffffff,0.0,0.0
851f93b7fffffff,0.0,0.0
851f93a7fffffff,1.0,0.0
851f9edbfffffff,1.0,0.0
851f9ecbfffffff,0.0,0.0
851f9e53fffffff,0.0,0.0
851f9e43fffffff,0.0,0.0
851f9e47fffffff,0.0,0.0
851f9e73fffffff,0.0,0.0
851f9e77fffffff,0.0,0.0
851f9e2bfffffff,0.0,0.0
851f9e2ffffffff,0.0,0.0
851f985bfffffff,0.0,0.0
851f9843fffffff,1.0,0.0
851f9847fffffff,0.0,0.0
851f9873fffffff,0.0,0.0
851f9877fffffff,0.0,0.0
851f982bfffffff,0.0,0.0
851f982ffffffff,0.0,0.0
